modern_name,ayurvedic_names/0,ayurvedic_names/1,ayurvedic_names/2,doshic_imbalance/primary,doshic_imbalance/secondary/0,doshic_imbalance/secondary/1,description,formulations/0/name,formulations/0/common_name,formulations/0/rasa_guna_virya_vipaka/rasa/0,formulations/0/rasa_guna_virya_vipaka/guna/0,formulations/0/rasa_guna_virya_vipaka/guna/1,formulations/0/rasa_guna_virya_vipaka/virya,formulations/0/rasa_guna_virya_vipaka/vipaka,formulations/0/contraindications/0,formulations/0/contraindications/1,formulations/0/benefits/0,formulations/1/name,formulations/1/common_name,formulations/1/rasa_guna_virya_vipaka/rasa/0,formulations/1/rasa_guna_virya_vipaka/rasa/1,formulations/1/rasa_guna_virya_vipaka/guna/0,formulations/1/rasa_guna_virya_vipaka/guna/1,formulations/1/rasa_guna_virya_vipaka/virya,formulations/1/rasa_guna_virya_vipaka/vipaka,formulations/1/contraindications/0,formulations/1/contraindications/1,formulations/1/benefits/0,formulations/2/name,formulations/2/common_name,formulations/2/rasa_guna_virya_vipaka/rasa/0,formulations/2/rasa_guna_virya_vipaka/guna/0,formulations/2/rasa_guna_virya_vipaka/guna/1,formulations/2/rasa_guna_virya_vipaka/virya,formulations/2/rasa_guna_virya_vipaka/vipaka,formulations/2/contraindications/0,formulations/2/contraindications/1,formulations/2/benefits/0,warning,formulations/0/rasa_guna_virya_vipaka/rasa/1,formulations/2/rasa_guna_virya_vipaka/rasa/1,formulations/2/contraindications/2,formulations/0/rasa/0,formulations/0/guna/0,formulations/0/guna/1,formulations/0/virya,formulations/0/vipaka,formulations/1/rasa/0,formulations/1/rasa/1,formulations/1/guna/0,formulations/1/guna/1,formulations/1/virya,formulations/1/vipaka,formulations/2/rasa/0,formulations/2/rasa/1,formulations/2/guna/0,formulations/2/guna/1,formulations/2/virya,formulations/2/vipaka,references/0,references/1,references/2,references/3,formulations/0/rasa/1,formulations/0/rasa_guna_virya_vipaka/rasa/2,doshic_imbalance/secondary/2,formulations/2/rasa_guna_virya_vipaka/rasa/2,formulations/1/rasa_guna_virya_vipaka/rasa/2,formulations/0/scientific_name,formulations/1/scientific_name,formulations/2/scientific_name
Malaria,Visama-Jwara,Pitta-Jwara,Kapha-Jwara,Pitta,Vata,Kapha,"Malaria is a mosquito-borne disease that causes symptoms such as fever, chills, fatigue, and headache. It is caused by a parasite called Plasmodium, which is transmitted to humans through the bites of infected Anopheles mosquitoes.",Ama-Jwara Churna,Ama-Jwara Powder,Katu,Ruksha,Laghu,Sheeta,Katu,Excessive Vata imbalance,,"Ama-Jwara Churna, a formulation described in Ashtanga Hridaya, is believed to be effective against 'ama-jwara' (fever due to toxic accumulation) and is used in treating various types of fevers, including malaria.",Yavakshara Churna,Barley Ash Powder,Lavana,,Laghu,Ruksha,Sheeta,Lavana,Excessive Vata imbalance,Kidney diseases,"Yavakshara Churna, also referenced in Ashtanga Hridaya, is known for its antipyretic properties. It is indicated in managing intermittent fevers like those seen in malaria.",Manjisthadi Kwath,Manjistha Decoction,Tikta,Laghu,Ruksha,Sheeta,Katu,Excessive Vata imbalance,Pregnancy and breastfeeding,"Manjisthadi Kwath, an herbal decoction mentioned in Ashtanga Hridaya, is known for its 'jwarahar' (anti-fever) properties. It is used as an adjunct therapy in the treatment of malaria due to its potential antipyretic effects.",,Tikta,Kashaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis A,Yakritodara,,,Pitta,Kapha,Vata,"Hepatitis A is a viral liver infection caused by the Hepatitis A virus. It leads to symptoms such as jaundice, fatigue, abdominal pain, nausea, and loss of appetite.",Bhumyamalaki,Bhumyamalaki Powder,Tikta,Laghu,Ruksha,Sheeta,Katu,Individuals with hypoglycemia,,"Bhumyamalaki (Phyllanthus niruri) is recognized for its 'yakritpleehahara' properties in Ayurveda, indicating its beneficial effects on the liver and spleen. It is believed to have hepatoprotective and antiviral actions, potentially aiding in Hepatitis A treatment.",Kutki,Kutki Powder,Tikta,,Laghu,Ruksha,Sheeta,Katu,Pregnant or breastfeeding women,,"Kutki (Picrorhiza kurroa) is described in Bhavaprakasha for its 'yakritottejak' actions, known to stimulate liver function. It is suggested to possess anti-inflammatory and antiviral properties, potentially assisting in managing Hepatitis A.",Arogyavardhini Vati,Arogyavardhini Tablets,Tikta,Laghu,Snigdha,Sheeta,Katu,"High blood pressure, hyperacidity, and gastritis",,"Arogyavardhini Vati is an Ayurvedic formulation mentioned in various texts like Charaka Samhita and Bhaishajya Ratnavali. It is known for its hepatoprotective and immunomodulatory effects, potentially beneficial in supporting liver function during Hepatitis A.",,Kashaya,Katu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis D,Yakrit Pliha Vikara,,,Pitta,Kapha,Vata,Hepatitis D (Delta Hepatitis) is a liver infection caused by the Hepatitis D virus (HDV). It only occurs in individuals who are infected with the Hepatitis B virus (HBV). Hepatitis D infection can be more severe than HBV alone and can lead to serious liver complications.,Bhumyamalaki,Bhumyamalaki Powder,Tikta,Laghu,Ruksha,Sheeta,Katu,Individuals with hypoglycemia,,"Bhumyamalaki (Phyllanthus niruri) is mentioned in Bhaishajya Ratnavali as a potent herb for liver disorders. It is believed to possess hepatoprotective properties, potentially aiding in the management of Hepatitis D.",Kutki,Kutki Powder,Tikta,,Laghu,Ruksha,Sheeta,Katu,Pregnant or breastfeeding women,,"Kutki (Picrorhiza kurroa) is described in Charaka Samhita for its 'yakritottejaka' properties, indicating its role in enhancing liver function. It is suggested to have antiviral effects, potentially helpful in Hepatitis D management.",Arogyavardhini Vati,Arogyavardhini Tablets,Tikta,Laghu,Snigdha,Sheeta,Katu,"High blood pressure, hyperacidity, and gastritis",,"Arogyavardhini Vati is recommended in various Ayurvedic texts, including Charaka Samhita and Bhaishajya Ratnavali, for liver ailments. It is believed to regulate liver functions and support the treatment of Hepatitis D.",,Kashaya,Katu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Cold,Pratishyaya,,,Kapha,Vata,Pitta,"The common cold is a viral infection affecting the upper respiratory tract, causing symptoms such as a runny or stuffy nose, sneezing, sore throat, coughing, and mild fatigue.",Trikatu Churna,Trikatu Powder,Katu,Laghu,Ruksha,Ushna,Katu,"Individuals with gastritis, hyperacidity, or ulcers",,"Trikatu Churna is known for its deepana (digestive stimulant) and pachana (digestive) properties, making it effective in managing Kapha-related congestion and enhancing metabolism during colds.",Tulsi,Holy Basil,Katu,Tikta,Laghu,Ruksha,Ushna,Katu,Pregnant or breastfeeding women,Individuals with bleeding disorders,"Tulsi (Ocimum sanctum) is widely used in Ayurveda for its antimicrobial, anti-inflammatory, and adaptogenic effects, supporting immune function and easing respiratory symptoms.",Sitopaladi Churna,Sitopaladi Powder,Madhura,Laghu,Snigdha,Sheeta,Madhura,Individuals with diabetes or high blood sugar levels,,"Sitopaladi Churna is a classical formulation used to manage cough, cold, and respiratory distress. It soothes the throat and reduces inflammation while balancing aggravated doshas.",,,Katu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic Hemorrhoids (Piles),Arsha,,,Vata,Pitta,Kapha,"Hemorrhoids, commonly known as piles, are swollen and inflamed veins in the rectum and anus that can cause discomfort, bleeding, itching, and pain during bowel movements.",Triphala Churna,Triphala Powder,Katu,Ruksha,Laghu,Sheeta,Katu,Individuals with excessive Vata imbalance,,"Triphala is mentioned in Sushruta Samhita for its tridoshaghna (balances all three doshas) and anulomana (regulates bowel movement) effects. Its mild laxative and detoxifying properties help reduce strain during defecation, easing symptoms of hemorrhoids.",Arshoghni Vati,Arshoghni Tablets,Katu,Tikta,Laghu,Ruksha,Ushna,Katu,Pregnant or breastfeeding women,,"Arshoghni Vati, described in Bhaishajya Ratnavali, is effective in managing hemorrhoids due to its arshoghna (anti-hemorrhoidal) and shothahara (anti-inflammatory) properties. It is traditionally used to reduce swelling, discomfort, and promote healing.",Khadirarishta,Khadirarishta Tonic,Tikta,Laghu,Ruksha,Sheeta,Katu,Individuals with liver disorders,,"Khadirarishta, mentioned in Ashtanga Hridaya, is a fermented herbal tonic with pachana (digestive), rasayana (rejuvenative), and shothahara (anti-inflammatory) actions. It supports detoxification and tissue healing in hemorrhoidal conditions.",,Tikta,Kashaya,,,,,,,,,,,,,,,,,,,,,,,,Kashaya,,,,,,
Arthritis,Amavata,,,Vata,Ama,Pitta,"Arthritis is a condition characterized by joint inflammation, stiffness, swelling, and pain. It can affect one or multiple joints and is commonly associated with reduced mobility and discomfort.",Guggulu,Guggul,Tikta,Laghu,Snigdha,Ushna,Katu,Pregnant or breastfeeding women,Individuals with bleeding disorders,"Guggulu, mentioned in Charaka Samhita, is known for its 'shothahara' (anti-inflammatory) properties. It helps reduce joint swelling and inflammation, offering relief in arthritic conditions through its detoxifying and rejuvenating actions.",Ashwagandha,Ashwagandha Powder,Tikta,Kashaya,Laghu,Snigdha,Ushna,Katu,Individuals with hyperthyroidism or autoimmune disorders,,"Ashwagandha, known for its vata-pacifying qualities, is useful in reducing stiffness and pain. Its rasayana (rejuvenative) and balya (strengthening) properties support joint health and improve mobility in arthritic patients.",Triphala Churna,Triphala Powder,Katu,Ruksha,Laghu,Sheeta,Katu,Individuals with excessive Vata imbalance,,"Triphala Churna, a blend of Amalaki, Bibhitaki, and Haritaki, is recognized in Ayurvedic literature for its detoxifying and mild anti-inflammatory actions. It aids in reducing systemic ama (toxins), improving digestion and metabolism—key in managing Amavata.",,Katu,Tikta,,,,,,,,,,,,,,,,,,,,,,,,,Kapha,Kashaya,,,,
Acne,Yauvan Pidika,,,Kapha,Pitta,,"Acne is a skin condition characterized by the occurrence of pimples, blackheads, whiteheads, and often inflammation or infection of sebaceous glands on the face, back, or chest.",Neem,Neem Leaves,Tikta,Laghu,Ruksha,Sheeta,Katu,Pregnant or breastfeeding women,Individuals with extremely low blood sugar levels,"Neem is known for its 'kusthaghna' (skin disease alleviating) and blood-purifying properties, with antibacterial and anti-inflammatory effects beneficial for acne management.",Haridra,Turmeric,Tikta,Katu,Laghu,Ruksha,Ushna,Katu,Individuals with gallbladder problems or obstructive jaundice,,"Haridra (Turmeric) is valued for its 'rakta shodhana' (blood-purifying) and anti-inflammatory properties, helpful in reducing inflammation and preventing acne outbreaks.",Manjistha,Manjistha Powder,Tikta,Laghu,Ruksha,Sheeta,Katu,Individuals prone to kidney stones,,"Manjistha is recognized for its 'raktashodhaka' (blood-purifying) and detoxifying effects, promoting clear skin and aiding in the management of acne and other skin conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary Tract Infection,Mutrakrichra,Prameha,,Pitta,Vata,Kapha,"A Urinary Tract Infection (UTI) is an infection in any part of the urinary system, including the kidneys, ureters, bladder, and urethra. It often causes a burning sensation during urination, frequent urges to urinate, cloudy or bloody urine, and pelvic pain.",Gokshura,Gokshura Capsules,Madhura,Guru,Snigdha,Sheeta,Madhura,Pregnant women,Individuals with fluid retention or kidney diseases,"Gokshura (Tribulus terrestris) is used in Ayurveda for its diuretic and cooling properties, helping to soothe urinary tract irritation and support healthy kidney and bladder function.",Chandraprabha Vati,Chandraprabha Tablets,Tikta,Katu,Laghu,Snigdha,Sheeta,Katu,Individuals with diabetes,,"Chandraprabha Vati is a classical Ayurvedic formulation known for its effectiveness in urinary tract disorders, offering antimicrobial, anti-inflammatory, and diuretic actions.",Punarnavadi Kashayam,Punarnavadi Decoction,Tikta,Laghu,Ruksha,Sheeta,Katu,Pregnant or breastfeeding women,,"Punarnavadi Kashayam is widely used in Ayurveda for reducing swelling and inflammation in the urinary tract, aiding in detoxification, and promoting healthy urination.",,Tikta,Kashaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psoriasis,Kitibha,,,Vata,Pitta,Kapha,"Psoriasis is a chronic autoimmune condition that causes the rapid buildup of skin cells, resulting in red, dry, itchy, and sometimes painful patches on the skin. It often goes through cycles of flare-ups and remissions.",Neem,Neem Leaves,Tikta,Laghu,Ruksha,Sheeta,Katu,Pregnant or breastfeeding women,Individuals with hypoglycemia or diabetes,"Neem (Azadirachta indica) is known for its 'kandughna' (anti-itch) and antibacterial properties, helping manage skin conditions like psoriasis through detoxification and reduction of inflammation.",Triphala Kwath,Triphala Decoction,Katu,Tikta,Ruksha,Laghu,Sheeta,Katu,Individuals with excessive dryness or dehydration,,"Triphala Kwath, with its blood-purifying ('raktashodhana') qualities, helps detoxify the body and reduce inflammation, which can be beneficial in psoriasis management.",Guduchi,Guduchi Extract,Tikta,Laghu,Snigdha,Sheeta,Katu,Individuals with autoimmune disorders,,"Guduchi (Tinospora cordifolia) is known for its 'kusthaghna' (skin disorder relieving) and immunomodulatory properties, potentially supporting the treatment of chronic skin conditions like psoriasis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kashaya,,,
Allergy,Asatmya,,,Kapha,Pitta,Vata,"Allergies are an immune system response to foreign substances, often causing symptoms such as sneezing, itching, watery eyes, skin rashes, or in severe cases, anaphylaxis.",Tulsi,Holy Basil,Tikta (Bitter),Laghu (Light),Ruksha (Dry),Sheeta (Cold),Katu (Pungent),Pregnancy,Individuals with hypoglycemia,"Tulsi (Ocimum sanctum) is described for its 'shothahara' property, which means it possesses anti-inflammatory actions that can help manage swelling, inflammations, and related allergic reactions",Guduchi,Guduchi Powder,Tikta (Bitter),,Laghu (Light),Snigdha (Unctuous),Sheeta (Cold),Katu (Pungent),Pregnancy,Individuals with autoimmune disorders,"It is believed to have 'shvasahara' properties, meaning it can alleviate breathing difficulties, including allergic respiratory conditions",Haridra,Turmeric Powder,Tikta (Bitter),Laghu (Light),Ruksha (Dry),Ushna (Hot),Katu (Pungent),Pregnancy,Individuals with gallbladder issues or bile duct obstruction,"Haridra (Curcuma longa, turmeric) is known for its 'kaphaghna' (reducing Kapha dosha) and 'shothahara' (anti-inflammatory) properties, which may help manage allergic reactions and inflammatory conditions","Consult a qualified Ayurvedic practitioner before use, especially during pregnancy or if suffering from chronic or systemic conditions.",Katu (Pungent),Katu (Pungent),,,,,,,,,,,,,,,,,,,,,,,,,,,,Ocimum sanctum,Tinospora cordifolia,Curcuma longa
